,Restaurant_id,City,Cuisine Style,Ranking,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA,URL,nr_reviews,excellent,v_good,average,poor,terrible
0,id_0,Paris,"['Bar', 'Pub']",12963.0,$$ - $$$,4.0,"[[], []]",/Restaurant_Review-g187147-d10746918-Reviews-Le_Perchoir-Paris_Ile_de_France.html,d10746918,https://www.tripadvisor.com//Restaurant_Review-g187147-d10746918-Reviews-Le_Perchoir-Paris_Ile_de_France.html,621,52,39,11,4,10
1,id_1,Helsinki,"['European', 'Scandinavian', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']",106.0,$$ - $$$,97.0,"[['Very good reviews!', 'Fine dining in Hakaniemi'], ['12/05/2017', '10/29/2017']]",/Restaurant_Review-g189934-d6674944-Reviews-Ravintola_Kolmon3n-Helsinki_Uusimaa.html,d6674944,https://www.tripadvisor.com//Restaurant_Review-g189934-d6674944-Reviews-Ravintola_Kolmon3n-Helsinki_Uusimaa.html,186,59,43,7,0,2
2,id_2,Edinburgh,['Vegetarian Friendly'],810.0,$$ - $$$,28.0,"[['Better than the Links', 'Ivy Black'], ['12/28/2017', '12/06/2017']]",/Restaurant_Review-g186525-d13129638-Reviews-Black_Ivy-Edinburgh_Scotland.html,d13129638,https://www.tripadvisor.com//Restaurant_Review-g186525-d13129638-Reviews-Black_Ivy-Edinburgh_Scotland.html,255,116,52,39,30,15
3,id_3,London,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",1669.0,$$$$,202.0,"[['Most exquisite', 'Delicious and authentic'], ['12/06/2017', '11/22/2017']]",/Restaurant_Review-g186338-d680417-Reviews-Quirinale-London_England.html,d680417,https://www.tripadvisor.com//Restaurant_Review-g186338-d680417-Reviews-Quirinale-London_England.html,269,153,54,17,8,6
4,id_4,Bratislava,"['Italian', 'Mediterranean', 'European', 'Seafood', 'Vegetarian Friendly', 'Gluten Free Options']",37.0,$$$$,162.0,"[['Always the best in bratislava', 'Very good but pricey'], ['02/08/2018', '01/24/2018']]",/Restaurant_Review-g274924-d1112354-Reviews-Massimo_Ristorante-Bratislava_Bratislava_Region.html,d1112354,https://www.tripadvisor.com//Restaurant_Review-g274924-d1112354-Reviews-Massimo_Ristorante-Bratislava_Bratislava_Region.html,196,50,30,6,2,2
5,id_5,Paris,"['French', 'Cafe', 'Fast Food']",5093.0,$,24.0,"[['Lunch Break', 'Good to Quick Bite'], ['09/07/2017', '09/02/2017']]",/Restaurant_Review-g187147-d8458643-Reviews-Le_Comptoir_du_Louvre-Paris_Ile_de_France.html,d8458643,https://www.tripadvisor.com//Restaurant_Review-g187147-d8458643-Reviews-Le_Comptoir_du_Louvre-Paris_Ile_de_France.html,39,6,9,4,0,0
6,id_6,Lisbon,"['European', 'Portuguese']",3704.0,$,2.0,"[[], []]",/Restaurant_Review-g189158-d8758873-Reviews-Lisboa_City-Lisbon_Lisbon_District_Central_Portugal.html,d8758873,https://www.tripadvisor.com//Restaurant_Review-g189158-d8758873-Reviews-Lisboa_City-Lisbon_Lisbon_District_Central_Portugal.html,5,0,0,1,0,0
7,id_7,Budapest,,2330.0,,,"[[], []]",/Restaurant_Review-g274887-d8286886-Reviews-Beer_N_Scooter-Budapest_Central_Hungary.html,d8286886,https://www.tripadvisor.com//Restaurant_Review-g274887-d8286886-Reviews-Beer_N_Scooter-Budapest_Central_Hungary.html,1,0,1,0,0,0
8,id_8,Helsinki,"['European', 'Scandinavian']",771.0,,2.0,"[['Big group supper', 'Good food but very slow service :('], ['01/07/2018', '10/11/2017']]",/Restaurant_Review-g189934-d12947542-Reviews-Bistro_Gimis-Helsinki_Uusimaa.html,d12947542,https://www.tripadvisor.com//Restaurant_Review-g189934-d12947542-Reviews-Bistro_Gimis-Helsinki_Uusimaa.html,31,2,10,3,2,1
9,id_9,Stockholm,['Italian'],605.0,,13.0,"[['Good food', 'Good pizza'], ['12/02/2017', '10/29/2017']]",/Restaurant_Review-g189852-d12716384-Reviews-Il_Molo-Stockholm.html,d12716384,https://www.tripadvisor.com//Restaurant_Review-g189852-d12716384-Reviews-Il_Molo-Stockholm.html,72,4,7,3,2,0
